           CV0	          hist	   free energy	
     71.000000	      0.000000	      0.000000	
     73.000000	      0.000000	      0.000000	
     75.000000	      0.000000	      0.000000	
     77.000000	      0.000000	      0.000000	
     79.000000	      0.000000	      0.000000	
     81.000000	      1.000000	      0.000000	
     83.000000	      0.000000	      0.000000	
     85.000000	      0.000000	      0.000000	
     87.000000	      0.000000	      0.000000	
     89.000000	      0.000000	      0.000000	
     91.000000	      0.000000	      0.000000	
     93.000000	      0.000000	      0.000000	
     95.000000	      0.000000	      0.000000	
     97.000000	      0.000000	      0.000000	
     99.000000	      0.000000	      0.000000	
    101.000000	      0.000000	      0.000000	
    103.000000	      0.000000	      0.000000	
    105.000000	      0.000000	      0.000000	
    107.000000	      0.000000	      0.000000	
    109.000000	      0.000000	      0.000000	
    111.000000	      0.000000	      0.000000	
    113.000000	      0.000000	      0.000000	
    115.000000	      0.000000	      0.000000	
    117.000000	      0.000000	      0.000000	
    119.000000	      0.000000	      0.000000	
    121.000000	      0.000000	      0.000000	
    123.000000	      0.000000	      0.000000	
    125.000000	      0.000000	      0.000000	
    127.000000	      0.000000	      0.000000	
    129.000000	      0.000000	      0.000000	
    131.000000	      0.000000	      0.000000	
    133.000000	      0.000000	      0.000000	
    135.000000	      0.000000	      0.000000	
    137.000000	      0.000000	      0.000000	
    139.000000	      0.000000	      0.000000	
    141.000000	      0.000000	      0.000000	
    143.000000	      0.000000	      0.000000	
    145.000000	      0.000000	      0.000000	
    147.000000	      0.000000	      0.000000	
    149.000000	      0.000000	      0.000000	
    151.000000	      0.000000	      0.000000	
    153.000000	      0.000000	      0.000000	
    155.000000	      0.000000	      0.000000	
    157.000000	      0.000000	      0.000000	
    159.000000	      0.000000	      0.000000	
    161.000000	      0.000000	      0.000000	
    163.000000	      0.000000	      0.000000	
    165.000000	      0.000000	      0.000000	
    167.000000	      0.000000	      0.000000	
    169.000000	      0.000000	      0.000000	
